Step,2024-07-01-10:47:05-main-0.2 - test_sigma_acc
0,51.46
1,62.08
2,68.03
3,72.41
4,74.75
5,77.51
6,79.3
7,79.91
8,81.05
9,82.65
10,83.1
11,82.74
12,83.09
13,84.09
14,84.94
15,84.43
16,84.96
17,86.74
18,86.78
19,85.8
20,86.61
21,87.16
22,85.92
23,86.76
24,87.08
25,87.69
26,87.39
27,87.67
28,88.31
29,87.53
30,87.36
31,87.89
32,86.94
33,88.57
34,88.46
35,87.91
36,88.78
37,86.39
38,85.83
39,89.38
40,87.66
41,87.96
42,88.54
43,88.74
44,89.51
45,87.48
46,88.36
47,88.32
48,89.17
49,90.8
50,90.82
51,90.94
52,90.97
53,91.04
54,91.07
55,91.12
56,91.02
57,91.1
58,91.11
59,91.14
60,91.17
61,91.17
62,91.06
63,90.97
64,90.98
65,90.95
66,90.94
67,90.92
68,91.01
69,90.81
70,90.78
71,90.81
72,90.72
73,90.84
74,90.71
75,90.77
76,90.69
77,90.58
78,90.55
79,90.42
80,90.44
81,90.22
82,90.25
83,90.19
84,90.29
85,90.07
86,90.13
87,90.03
88,89.97
89,90.11
90,89.88
91,89.41
92,89.73
93,89.54
94,89.22
95,89.68
96,89.44
97,88.73
98,88.94
99,89
